0831242Z;Lycée du Golfe de Saint Tropez
0950667J;Lycée Romain Rolland
0230602E;I.U.T du Limousin - Site de Guéret
0501850P;Lycée Maurice Marland
0700009E;Lycée Augustin Cournot
0380035G;Lycée des Métiers - Lesdiguieres
0681839E;Lycée Joseph Storck (Hotelier)
0560016N;Lycée Broceliande
0332870R;Lycée De La Mer
0290181P;Lycée Brest - Rive Droite - Javouhey
0060693W;Cours Cannois-Guy Furet
0021869W;Lycée Saint Joseph
0290030A;Lycée Pierre Gueguin
0400065D;St Joseph
0590065A;Lycée Edmond Labbe
0010072Y;Lycée International
0030073N;Lycée Sainte Procule
0230025C;Lycée Raymond Loewy
0761742F;Lycée Val De Seine
0620113L;Lycée Henri Darras
0570057C;Lycée Robert Schuman
0441982R;Lycée Bretagne
0620143U;Lycée D'Artois
0753842U;Lycée Notre-Dame De Sion
0920144G;Lycée Agora
0680060W;Lycée Ribeaupierre
0381599G;Lycée De L'Edit
0783140P;Lycée Mansart
0783286Y;Lycée St Erembert
0420044V;Lycée Simone Weil
0670057Y;Lycée General Leclerc
0601826J;Lycée Hugues Capet
0311902Z;Lycée Stéphane Hessel
0190038N;Lycée Bernart de Ventadour
0492123S;Lycée Jean Moulin
0932122B;Lycée D'Alembert
0131348V;Lycée Sevigne
0640124M;Lycée St Francois
0530052U;Lycée Don Bosco
0570201J;Lycée La Misericorde
0820016X;Lycée Francois Mitterrand
0820020B;Lycée Michelet
0820046E;Saint-Theodard
0260064D;Lycée Chabrillan
0930965U;Lycée Henri Matisse
0610700E;Lycée Bignon
0640044A;Lycée des métiers de la chimie Albert Camus
0681761V;Lycée Jean Henri LAMBERT
0440154D;Lycée Blanche De Castille
0440166S;Lycée N-D.De Toutes Aides
0440171X;Lycée Notre Dame De L Abbaye
0640046C;Lycée Paul Rey
0640125N;Lycée St Joseph
0470028A;Lycée George Sand
0920143F;Lycée de La Folie Saint-James
0060687P;Cours Henri Iv
0060692V;Lycée Prive Michelet
0060729K;Lycée Stanislas
0360671J;Lycée Saint Michel
0300083C;Lycée Saint Stanislas
0940117S;Lycée Edouard Branly
0940881X;Lycée Montalembert
0490834R;Lycée Notre-Dame D'Orveau
0260017C;Lycée Roumanille
0670049P;Lycée Freppel
0640047D;Lycée Jules Supervielle
0640126P;Lycée St Joseph
0450108Y;Lycée Saint Paul-Bourdon Blanc
0450757D;Lycée Sainte Croix -Saint Euverte
0400046H;Lycée Saint-Exupery
0720842Z;Lycée St Michel Des Perrais
0754870L;Haredi
0753824Z;Lycée Massillon
0753829E;Ecole Claude Bernard
0753827C;Lycée Louise De Marillac
0690032K;Lycée Juliette Récamier
0690514J;Lycée Charles De Foucauld
0690031J;Lycée Antoine De Saint Exupery
0690512G;Cours Lavoisier Sbs
0690536H;Lycée Belmont-Capdepon
0693446W;Cite Scolaire Internationale
0690035N;Lycée Auguste et Louis Lumière
0690042W;Lycée Colbert
0440201E;Lycée St Joseph
0940116R;Lycée Eugene Delacroix
0783283V;Lycée L'Ermitage
0720027N;Lycée polyvalent Perseigne
0040010P;Lycée Felix Esclangon
0783289B;Lycée Notre Dame
0132410Z;Lycée Maurice Genevoix
0781861Z;Lycée Louis De Broglie
0470063N;Lycée Notre Dame La Compassion
0131339K;Lycée St Joseph De La Madeleine
0130042A;Lycée Montgrand
0130175V;Lycée Honore Daumier
0130036U;Lycée Perier
0130037V;Lycée Marcel Pagnol
0590149S;Cité Scolaire Pierre Forest
0142132S;Lycée Francois Rabelais
0670087F;Lycée Alexandre Dumas (Hotelier)
0941972H;Lycée Fernand Leger
0520019N;Lycée Philippe Lebon
0170135E;Lycée Jean Hyppolite
7200123W;Lycée de Balagne
0382895R;Lycée Philibert Delorme
0360019A;Lycée George Sand
0133406G;Lycée Mediterranee (De La )
0380049X;Lycée De La Matheysine
0781839A;Lycée Jean Monnet
0330109P;Lycée Jean Renou
0171405K;Lycée des Métiers - Hotelier
0850130E;Lycée Notre Dame Du Roc
0850137M;Lycée Saint LOUIS
0381630R;Lycée polyvalent - UNITÉ SOINS ETUDES GRÉSIVAUDAN
0220196U;Lycée Henri Avril
0290044R;Lycée De L'Elorn
0020034B;Lycée Pierre Méchain
0341794R;Lycée Jean-Francois Champollion
0542262R;Lycée Emmanuel Here
0932118X;Lycée Jean Moulin
0590042A;Lycée Camille Desmoulins
0381803D;Externat Notre Dame
0061636W;Cours Albert Camus
0753870Z;Lycée Hattemer
0690554C;Lycée Immaculee Conception
0592929N;Lycée Sainte Thérèse
0240005A;Lycée Maine De Biran
0590064Z;Lycée Jean-Baptiste Corot
0133314G;Lycée St Louis - Ste Marie
0590093F;Lycée Beaupré
0140061R;Lycée Marcel Gambier
0670041F;Lycée Henri Meck
0750680G;Lycée Arago
0800046R;Lycée PIERRE MENDES FRANCE
0311586F;Lycée Toulouse-Lautrec
0594413B;Lycée Georges Bustin
0623981R;Lycée Vauban
0740013M;Lycée G. Fichet
0771658J;Lycée du Gué-à-Tresmes
0451483T;Lycée Maurice Genevoix
0590168M;Lycée Eugene Thomas
0772228D;Lycée Charles De Gaulle
0750587F;Fernand Holweck
0672806L;Lycée Marcel Rudloff
